id,name,poster_path,backdrop_path
87096,Avatar Collection,/nslJVsO58Etqkk17oXMuVK4gNOF.jpg,/9s4BM48NweGFrIRE6haIul0YJ9f.jpg
295,Pirates of the Caribbean Collection,/zT5UKFhq9nk97VGlBbAxlAK8UFN.jpg,/cnKAGbX1rDkAquF2V1wVkptHDJO.jpg
468551,Justice League Collection,,/vyxOJuk6cxrRcGzuMRbDTpwji1w.jpg
131296,Thor Collection,/yw7gr7DhHHVTLlO8Se8uH17TDMA.jpg,/3KL8UNKFWgIKXzLHjwY0uwgjzYl.jpg
284433,Guardians of the Galaxy Collection,/iL8mukexAqEg0xK783rG561tdd8.jpg,/jdyyjulTBU8YUYAUvQFj6U1g2Pj.jpg
14890,Bad Boys Collection,/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg,/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg
468552,Wonder Woman Collection,/yEczguvMSFJRuUiOFgWXsZG3CsG.jpg,/n9KlvCOBFDmSyw3BgNrkUkxMFva.jpg
312977,Iron Sky Collection,/naglSR1dCuhpX0MHjSa4Cb9YObm.jpg,
306031,Pitch Perfect Collection,/n1bCFVJeVxX1yCTnXy4OCRwynF1.jpg,/jolu4gMP6g2VmUZt099U6X6jNNJ.jpg
263866,Nuke 'Em High Collection,/eI4x4Sv2C4Et7Be2RCZY7EpNk0H.jpg,
111751,Texas Chainsaw Massacre Collection,/lxYgt4gS4CEvfC2ZCa83IiOsOiu.jpg,/1zIwt7gUyxKhOKYXN5XNGdGxwHg.jpg
52785,xXx Collection,/omRo1Pw4phlELRgYOQ7RyAlccLt.jpg,/g9Q2dmbxd1F2hHB5VslPbqGM1JV.jpg
325470,The Lego Movie Collection,/hsBJxdgF1BK1M98dWAaikvTlym7.jpg,/sQNiamRBTh2aTjQ8aYCJ69MngTM.jpg
434533,Death Race Original Collection,/kpdCNcuQsDlBQ1ZPF0e2P5cqIXB.jpg,/o5rLt7nR0YMxNJqTuO5v3MIMPcj.jpg
14563,The Ring Collection,/500xj7l72BojMZ3tNBJY46tg5YJ.jpg,/jXlFymc442CEMB5h3d62GeJefnW.jpg
374202,Kizumonogatari,/2GC0vABosnCsu1k91HgHtpHMmdY.jpg,/7yMlkhaC1Qc4mypplTG9prZJUds.jpg
404609,John Wick Collection,/uGhPxTrmT5yASzZrR1oz1ft9UWr.jpg,/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg
453993,The Wolverine Collection,/8Ht4a5A5Ypxh0PjbVoRTzm1kAu3.jpg,/QtSxEuCwcZSfCTMZfER3nHDVsG.jpg
